state,district,population,households,literacy_rate_pct,sc_population,st_population,sub_centres,phcs,chcs,sub_divisional_hospitals,district_hospitals,institutional_delivery_pct_hmis,csection_rate_pct,institutional_births_pct,skilled_birth_attendance_pct,child_immunization_pct,sanitation_pct,drinking_water_pct,electricity_pct,health_insurance_pct,women_anaemia_pct,sub_centres_per_lakh,phcs_per_lakh,chcs_per_lakh,district_hospitals_per_lakh,sc_population_pct,st_population_pct,sub_centres_per_lakh_scaled,phcs_per_lakh_scaled,chcs_per_lakh_scaled,district_hospitals_per_lakh_scaled,institutional_delivery_pct_hmis_scaled,csection_rate_pct_scaled,institutional_births_pct_scaled,skilled_birth_attendance_pct_scaled,child_immunization_pct_scaled,sanitation_pct_scaled,drinking_water_pct_scaled,electricity_pct_scaled,health_insurance_pct_scaled,literacy_rate_pct_scaled,women_anaemia_pct_scaled,healthcare_access_score,coverage_tier
Andaman And Nicobar Islands,Nicobars,36842.0,9288.0,68.7584821670919,0.0,23681.0,41.0,4.0,1.0,0.0,1.0,95.8,0.0,97.8,98.6,64.2,83.5,98.8,97.9,2.7,38.3,111.28603224580642,10.857173877639651,2.714293469409913,2.714293469409913,0.0,64.27718364909613,0.9757312005018429,0.21418489767113622,0.14363362466749907,0.38651539004397156,0.941747572815534,0.0,0.9720101781170483,0.9797395079594791,0.642,0.7680339462517681,0.9795918367346939,0.9335443037974684,0.015527950310559008,0.6668203496835501,0.7022900763358779,0.6214247223260286,Well Covered
Andaman And Nicobar Islands,North And Middle Andaman,105597.0,26199.0,74.51253350000474,0.0,758.0,44.0,8.0,2.0,0.0,1.0,93.3,1.8,97.7,98.3,0.0,86.4,92.2,93.2,2.1,62.1,41.66785041241702,7.575972802257641,1.8939932005644105,0.9469966002822052,0.0,0.7178234230139113,0.3653344528937586,0.1494550034565376,0.1002253851908672,0.13485231588018604,0.9070735090152566,0.024032042723631505,0.9707379134860052,0.9753979739507961,0.0,0.8090523338048091,0.8673469387755104,0.7848101265822787,0.009316770186335404,0.7627778497740467,0.39949109414758266,0.48399358065784004,Underserved
Andaman And Nicobar Islands,South Andamans,238142.0,59064.0,79.89602842001831,0.0,4091.0,39.0,15.0,1.0,0.0,1.0,99.3,36.3,99.5,96.9,76.3,89.3,97.9,99.6,1.2,57.7,16.376783599701017,6.298762922961931,0.419917528197462,0.419917528197462,0.0,1.7178826078558171,0.14358799931693417,0.12425884556273148,0.022220985798389197,0.059796256015318586,0.9902912621359223,0.4846461949265687,0.9936386768447838,0.9551374819102751,0.763,0.8500707213578501,0.9642857142857144,0.9873417721518987,0.0,0.8525557617852839,0.4554707379134859,0.5764201606670104,Well Covered
Andhra Pradesh,Anantapur,4081148.0,968160.0,56.62524368143473,583135.0,154127.0,586.0,108.0,15.0,2.0,1.0,99.8,28.9,94.7,98.3,81.8,71.3,98.8,99.6,73.2,50.5,14.358704952626075,2.6463142233508807,0.3675436421320667,0.0245029094754711,14.288504116978851,3.776559928725937,0.12589393420130263,0.0522051638411545,0.01944949068252364,0.0034892143093070847,0.9972260748959778,0.3858477970627503,0.9325699745547074,0.9753979739507961,0.818,0.5954738330975954,0.9795918367346939,0.9873417721518987,0.7453416149068323,0.4644802651546062,0.5470737913486005,0.5752921824595164,Well Covered
Andhra Pradesh,Chittoor,4174064.0,1039953.0,63.915598802509976,785760.0,159165.0,644.0,120.0,15.0,4.0,2.0,100.0,32.1,97.1,97.6,66.6,74.6,98.5,99.7,70.7,51.8,15.428608665319938,2.874896024593777,0.3593620030742221,0.0479149337432296,18.82481916904005,3.8131902146205703,0.13527461219782183,0.05671451132517373,0.01901653879768015,0.006823086565035896,1.0,0.42857142857142855,0.9631043256997456,0.9652677279305355,0.6659999999999999,0.642149929278642,0.9744897959183674,0.990506329113924,0.7194616977225673,0.5860579521990132,0.5305343511450381,0.5789314857643315,Well Covered
Andhra Pradesh,East Godavari,5285824.0,1465351.0,63.3406825501568,957302.0,297044.0,840.0,144.0,26.0,3.0,1.0,100.0,52.0,96.6,89.9,59.0,77.7,97.9,98.8,66.4,63.0,15.891562034604256,2.7242677773607293,0.491881682023465,0.0189185262316717,18.11074299863181,5.619634705960698,0.13933368446118022,0.053742992577883786,0.026029148908476712,0.0026939981353900503,1.0,0.6942590120160212,0.9567430025445292,0.8538350217076702,0.59,0.6859971711456859,0.9642857142857144,0.962025316455696,0.6749482401656315,0.5764703550182839,0.38804071246819327,0.5712269579926904,Adequate
Andhra Pradesh,Guntur,4887813.0,1296609.0,60.56780404651324,957407.0,247089.0,680.0,119.0,18.0,2.0,1.0,100.0,12.3,98.6,95.5,76.2,83.4,99.3,99.2,71.1,59.5,13.912152531203628,2.434626692960635,0.368262861120096,0.0204590478400053,19.58763561535599,5.055205671739079,0.12197866180414205,0.04802909808538092,0.01948754995332268,0.0029133684124167543,1.0,0.16421895861148197,0.9821882951653944,0.9348769898697542,0.762,0.7666195190947668,0.9880952380952381,0.9746835443037978,0.7236024844720496,0.5302284162746442,0.43256997455470736,0.5634328065798064,Adequate
Andhra Pradesh,Krishna,4517398.0,1243293.0,66.62503503122815,871063.0,132464.0,593.0,125.0,12.0,2.0,1.0,100.0,41.1,98.9,98.0,90.0,79.1,94.4,99.6,68.1,60.3,13.127025778999329,2.767079633009976,0.2656396447689577,0.0221366370640798,19.282405490948552,2.932307492056268,0.11509484491342635,0.0545875634602043,0.014056985902061319,0.0031522571179249635,1.0,0.548731642189586,0.9860050890585244,0.9710564399421131,0.9,0.7057991513437057,0.9047619047619049,0.9873417721518987,0.6925465838509316,0.6312418951498326,0.4223918575063613,0.5957845324898983,Well Covered
Andhra Pradesh,Kurnool,4053463.0,887652.0,52.47762222080231,737945.0,82831.0,542.0,113.0,19.0,1.0,1.0,99.7,21.3,88.5,90.6,67.0,73.5,97.9,99.9,73.3,58.6,13.371282777220369,2.7877397672064603,0.468735005105511,0.0246702634266058,18.20529754434665,2.0434625898891885,0.11723643599449549,0.05499513625756544,0.024804284632670884,0.003513045511948666,0.9958391123439667,0.2843791722296395,0.8536895674300256,0.8639652677279306,0.67,0.6265912305516267,0.9642857142857144,0.9968354430379751,0.7463768115942029,0.39531241042806403,0.44402035623409664,0.5361229325506616,Adequate
Andhra Pradesh,Prakasam,3397448.0,860463.0,56.05486824228068,787861.0,151145.0,534.0,100.0,15.0,2.0,1.0,100.0,46.2,97.4,97.9,51.9,78.4,98.6,99.3,67.6,60.4,15.717679858529108,2.9433857412975857,0.4415078611946378,0.0294338574129758,23.18978833524457,4.448780378684236,0.13780912418183688,0.05806564221144812,0.023363492244767248,0.004191381295607754,1.0,0.616822429906542,0.9669211195928755,0.9696092619392187,0.519,0.6958981612446961,0.976190476190476,0.9778481012658227,0.6873706004140786,0.4549683928949378,0.4211195928753181,0.5672785184171751,Adequate
